,job_title,company_name,location,duration,date_posted,Num_Applicants,Num_Views,Num_In_Consideration,Num_Not_Selected,skills_and_tools,salary,experience_needed,education_level,job_categories,career_level,job_description,job_requirements,job_link,Logo
10,Software Architect,Bypa-ss,"Maadi, Cairo",Full Time,2 months ago,7,7,0,0,"Installation/Maintenance/Repair,IT/Software Development,Engineering - Telecom/Technology,Automation,AWS,Software Development,Kubernetes,Information Technology (IT),DevOps,Software,CI,CI/CD,Computer Science,Git,Jenkins,Telecom Engineering,Machine Learning,CSS,HTML,Design,Engineering,Java,Agile,React",Confidential,More Than 5 Years,Bachelor'S Degree,"Installation/Maintenance/Repair,IT/Software Development,Engineering - Telecom/Technology",Experienced (Non-Manager),"['We are looking for an experienced Software Architect to make intuitive high level decisions for software development. ', 'You will see the “big picture” and create architectural approaches for software design and implementation to guide the development team.']","['BS/MS degree in Computer Science, Engineering or a related subject', 'Proven hands-on Proven experience as software architect', '5+ years experience as an individual Software Engineer contributor working with Java technologies and agile methodologies.', 'Collaborate with other professionals to determine functional and non-functional requirements for new software or applications', 'Use tools and methodologies to create representations for functions and user interface of desired product', 'Develop high-level product specifications with attention to system integration and feasibility', 'Define all aspects of development from appropriate technology and workflow to coding standards', 'Communicate successfully all concepts and guidelines to development team', 'Oversee progress of development team to ensure consistency with initial design', 'Provide technical guidance and coaching to developers and engineers', 'Ensure software meets all requirements of quality, security, modifiability, extensibility etc.', 'Approve final product before launch', 'Experience with the Health Tech Sector is preferable.', 'Full professional English proficiency ', ' ']",https://wuzzuf.net/jobs/p/sbH6OIDe83Fe-Software-Architect-Bypa-ss-Cairo-Egypt?o=11&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Bypa-ss-Egypt-23618-1605383397.png
11,Java Technical Lead,Bypa-ss,"Maadi, Cairo",Full Time,2 months ago,5,5,0,0,"Installation/Maintenance/Repair,IT/Software Development,Engineering - Telecom/Technology,Automation,AWS,Software Development,Kubernetes,Information Technology (IT),DevOps,Software,CI,CI/CD,Computer Science,Git,Jenkins,Telecom Engineering,Machine Learning,CSS,HTML,Design,Engineering,Java,Agile,React",Confidential,More Than 5 Years,Bachelor'S Degree,"Installation/Maintenance/Repair,IT/Software Development,Engineering - Telecom/Technology",Experienced (Non-Manager),"['We are searching for an innovative technical lead to join our company. As the technical lead, you will oversee the company’s technical team and all projects they undertake, analyze briefs, write progress reports, identify risks, and develop work schedules. ', 'You should be able to work with your team and inspire them to reach their goals.']","['BS/MS degree in Computer Science, Engineering or a related subject', 'Proven hands-on Software Development experience ', '5+ years experience as an individual Software Engineer contributor working with Java technologies and agile methodologies', 'Object Oriented analysis and design using common design patterns.', 'Excellent knowledge of Spring Boot Framework', 'Experience in front end development with REACT, Rest, HTML, CSS, responsive design ', 'Experience with Junit and test-driven development (TDD) ', 'Experience in JIRA ', 'Experience in Agile (Scrum/Kanban) and DevOps (CI/CD) ', 'Detail-oriented and excellent concentration ability ', 'An analytical mindset and critical thinking ', 'An eye for recruiting great people ', 'A great sense to manage technical debt and you know investing in quality will make you go faster', 'The ability to be autonomous and to own your decisions', 'A great technical sense to challenge engineers and products to make the right decisions ', 'Experience with the Health Tech Sector is preferable. ', 'Full professional English proficiency ', ' ']",https://wuzzuf.net/jobs/p/lct0CYHZlnLd-Java-Technical-Lead-Bypa-ss-Cairo-Egypt?o=12&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Bypa-ss-Egypt-23618-1605383397.png
12,Research Software Development Engineer,TensorGraph,"Maadi, Cairo",Full Time,6 days ago,19,10,1,1,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Development,Computer Science,Software Development,Software,NodeJS,Software Engineering,Information Technology (IT)",Confidential,2 To 4 Years,Bachelor'S Degree,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology",Experienced (Non-Manager),"['TensorGraph AI is looking for ""Research Software Development Engineer L2"" who has strong analytical and programming skills, passionate about technology, highly motivated to make an impact, eager to learn and grow, and can develop quick prototypes as well as integration of large complex systems and handling large volumes of data.', 'Our work environment offers opportunities to conduct applied research, to incubate innovative ideas and technologies, to grow in-depth expertise and to interact with the top experts in the field.', 'The passionate candidate will be in charge of the following:', 'Designing, coding and releasing complex software components', 'Collaborate with scientists to integrate successful experiments into large scale, highly complex production services.', 'Build complex systems that turn machine/deep learning and AI research into commercial products for our customers.', 'Development of machine learning experimentation pipelines and contribute to model development and AI progression (investigation, research, analysis and experimentation).', 'Rapidly design and conduct large scale experiments in a high-ambiguity environment, making use of both quantitative and qualitative judgments.', 'Interact with security engineers and related domain experts to dive deep into the types of challenges that we need innovative solutions for', 'Data ingestion from multiple sources, data organization, preprocessing, cleansing', 'Effective data storage, migration and unification', 'Deployment of services on the cloud and subsequent support and maintenance']","[""Bachelor's degree in Computer Science or a related field required."", '2 to 4 years of hands-on experience.', 'Top notch investigation skills', 'Experience in Machine Learning (Must) and computer vision would be a (plus).', 'Software development experience using both native (C++) and managed (C#) programming (Plus)', 'Proficiency with one high level managed programming languages such as NodeJs, C# or JavaEE..', 'Proficiency with scripting languages such as Windows PowerShell, Perl, Python, etc (Plus)', 'Experience with cloud computing environments, specifically Aws. (Plus)', 'Technical competence (algorithms, data structures) and strong analytical and programming skills.', 'Good tolerance for ambiguity and uncertainty.', 'Good communication skills and cross-organizational interactions.', 'Very good communication skills', 'Problem-solving skills', 'Adaptability and flexibility', 'Accuracy and attention to details', 'Excellent organizational skills', 'Time and stress management skills', 'Ability to learn new concepts', 'Ability to think analytically', 'Leadership and decision-making skills', 'Self-motivation']",https://wuzzuf.net/jobs/p/u3KP1NfDlo6Z-Research-Software-Development-Engineer-TensorGraph-Cairo-Egypt?o=13&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/TensorGraph-Egypt-32724-1636296196.png
13,Mechanical Engineer,RITEC,"Maadi, Cairo",Full Time,2 months ago,494,124,84,37,"Engineering - Mechanical/Electrical,Mechanical Engineering,Engineering,Condition Monitoring,Condition Machines,Thermography,Computer Skills,Vibration Analysis,Ultrasound,Lubrication Oil Analysis",Confidential,0 To 3 Years,Bachelor'S Degree,Engineering - Mechanical/Electrical,Entry Level (Junior Level / Fresh Grad),"['Job Summary :', 'This is an entry level mechanical engineer job for people desiring to work in the condition monitoring field.', 'RITEC shall provide training and international certification to Category II for committed people.', 'Successful candidates have an opportunity to travel overseas to support our expanding contracts.', 'Long term commitment is required.', 'Job Description:', 'Performing condition monitoring of machines', 'Using vibration analysis to analyze machines', 'Using alternate technologies like thermography, ultrasound and lubrication oil analysis', 'Writing reports and documentation', 'Providing technical advice', 'Analyzing and interpreting data', 'Evaluating condition of machines', 'Recommending maintenance actions', 'Liaising with maintenance personnel']","['Bachelor degree in Mechanical Engineering.', 'Fresh graduate.', 'Ability to learn and work hard.', 'Computer professional, and good English language.', 'Driving license.']",https://wuzzuf.net/jobs/p/2xj68EOmEXvg-Mechanical-Engineer-RITEC-Cairo-Egypt?o=14&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/RITEC-Egypt-17595-1463489870.png
14,Senior Data Scientist,Fixed Solutions,"Sheraton, Cairo",Full Time,23 days ago,31,,,,"IT/Software Development,Engineering - Telecom/Technology,Analysis,APIs,Computer Science,Engineering,Information Technology (IT),Java,Programming,Software,Software Development,Software Engineering,SQL,Python,Data Science",Confidential,More Than 5 Years,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology",Experienced (Non-Manager),"[' Design and Develop analytical insights based on unstructured and structured data for industry-scale', 'analytical solutions on Cloud and on Prem.', 'Convert requirements into actual working modules.', ' Work with Data Scientists and Distinguished Engineers and Architects to solve problems by using analytics as a tool.', ' ']","['Required Years of experience: 5+ years of experience', ' Who you are:', ' You will be highly hands-on and enjoy keeping up with the latest innovations. With a very good grasp of a broad set of machine learning algorithms and software engineering skills, you will have a machine learning / mathematical / statistical background. ', ' As a Data scientist you will apply your deep analytics expertise, designing and implementing end to end unstructured data mining of large scale big data platforms. Apply semantic correlation, ontology, and text analytics techniques to analyze un-structured data and identify critical insights.  ', ' You will participate in feature / design discussions / workshop with Architect and the offering Management Teams to come up with innovative solutions that can scale.', ' What you know:', ' Defining the business problem and working hypothesis', ' Helping to locate/resolve data/quality issues', ' Proficient in the following: Python, R, Java, SQL', ' Proficient at consuming and building REST APIs', ' Proficient at integrating predictive/prescriptive models into applications and processes', ' Training and experience applying probability and statistics', ' Experience in data modeling and evaluation and a deep understanding of supervised and', 'unsupervised machine learning', 'Experience applying mathematical modeling and/or constraint programming to a range of', 'industry problems', 'Ability to apply predictive models as input into decision optimization problems', ' Experience building Monte Carlo simulation/optimization for what-if scenario analysis', ' Experience integrating data and the output of predictive and prescriptive models within the', 'context of a business problem', 'Proficiency with data parsing, scraping, and wrangling', ' Software life cycle, from analysis, design development, to unit testing, production', 'deployment and support.']",https://wuzzuf.net/jobs/p/PVAeMhWwvA6Q-Senior-Data-Scientist-Fixed-Solutions-Cairo-Egypt?o=15&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Fixed-Solutions-Egypt-18523-1517185135.png
15,Pre Sales Engineer,RDI,"Dokki, Giza",Full Time,12 days ago,15,14,4,0,"IT/Software Development,Sales/Retail,Engineering - Telecom/Technology,Sales,Presales,Computer Science,Sales Skills,Business,Information Technology (IT),Computer Engineering,Pre-Sales,MS Office,Sales Target",Confidential,More Than 2 Years,Bachelor'S Degree,"IT/Software Development,Sales/Retail,Engineering - Telecom/Technology",Experienced (Non-Manager),"['Engaging with customers, capturing requirements, proposing technical solutions and technologies/products.', 'Designs AI-based solutions using RDI engines for Speech, OCR, NLP.', 'Involve in customer meetings to describe/discuss the proposed solution and highlight advantages over competitors.', 'Prepares technical write-up and high-level design that describes the proposed solution.', 'Conduct research and gain knowledge of all key products and technologies (including competitive market analysis).', 'Drive new sales opportunities by proactively engaging with the technical community within target accounts.', 'Deliver consistent product training, technology updates and key selling points.', 'Conducting professional demos and presentations for end users. ', 'Create RFP responses, technical drawings, presentations, and recommendations.', 'Awareness / Understanding of Products’ competitors’ portfolios.', 'Investigating new technologies and third-party components and staying on top of technology to innovate new products and services.', 'Being in sync with market situation and studying market potential.']","['Bachelors degree of Engineering/computer science or related field.', 'Basic Knowledge of AI-based solutions, Machine Learning, and Deep Learning especially in these fields; Speech-to-Text, Text-to-Speech, Optical Character Recognition (OCR), and Natural Language Processing (NLP).', '2+ years of experience in presales functions.', 'Working experience in a customer-facing role and comfortable presenting to audiences on both technical and business-related topics.', 'Proficiency with MS Office Suite.', 'Fast learner with strong team-work spirit & positive thinking attitude.', 'Ability to multi-task and manage competing priorities, ensuring all objectives are accomplished.']",https://wuzzuf.net/jobs/p/Z7syrM0pS3E4-Pre-Sales-Engineer-RDI-Giza-Egypt?o=16&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/RDI-Egypt-5083-1579615010.png
16,Production Engineer - Plastic Field,Red Sea Pipes,"6th of October, Giza",Full Time,7 days ago,96,20,1,2,"Manufacturing/Production,Engineering - Mechanical/Electrical,Production,Engineering,Mechanical Engineering,Electrical Engineering,Plastic,Maintenance,Chemistry,Manufacturing,Science,Industrial,English,Electricity,Mechanics,Quality",Confidential,More Than 3 Years,Bachelor'S Degree,"Manufacturing/Production,Engineering - Mechanical/Electrical",Experienced (Non-Manager),"['Job summary:', 'Study the production capacity of all machines and follow up their implementation and their suitability with the production plan drawn up from the planning department approved by Production manager, study any deviation from expected production, monitor problems related to the product, machine, or workers, and make the necessary reports accordingly.', 'Job tasks:', 'Follow up the implementation of work orders in accordance with the plan approved by the Production Department', 'Preparing production reports that contain operating and stopping rates, optimum performance rates for machines and analyzing operating conditions.', 'Studying the scrap ratios and analyzing them and any deviation in the expected production rates according to the prior plan and compatible with the performance of the machines.', 'Continue implementation of pre-planned preventive (mechanical - electrical) maintenance plans approved by the Production and Maintenance Department and submit a report and study', 'Comprehensive of malfunctions during operation and suggest solutions for that.', 'Providing supervisors and technicians with the information necessary to raise their technical and administrative competence.', 'Creating a database for each equipment separately, including a record of faults, maintenance expenses and spares used as a spatial financial center.', 'Working a complete operating system to know the efficiency of the lines on different sizes, explaining in a table showing the preference of each machine according to each size. To arrange', 'Descending according to preference and problems of some machines on some sizes, in coordination with the production manager.', 'Coordination with the production manager in determining the needs of the department of equipment and tools that help in developing the work of the department and preparing a report accordingly.', 'Learn about the sources of food and its control points (electricity / water / compressed air / cooling).', 'Monitor the state of the molds before and after operation, organize, arrange, and code them according to type and size, and participate in the inventory procedures for pumps.', 'Follow health and safety standards, and industrial safety and occupational safety instructions.', 'Preparing reports and drawings for new molds, whether in the drawing or injection department.', 'The incumbent of this position is responsible for maintaining documents and confidential information.', ""Show his concept of rewards and penalties for the department's employees and under his presidency to his immediate boss.""]","['Required educational level: Bachelor (Engineering - Science) Specialization: Mechanics - Electricity - Chemistry', 'Required skills :', 'Experience in Plastic pipes Field is a must.', 'Knowing about plastic materials', 'Has experience in controlling operating conditions', 'Knowing about maintenance work', 'Has experience in controlling the quality of products and identifying defects of products, their causes and how to treat them', 'Has administrative and behavioral capabilities in the field of industrial management', 'The ability to make appropriate decisions for different situations', 'Fluency in the English language.', 'Proficiency in working with computers', 'Required Characteristics:', 'A leading, administrative and organizational personality', 'Good behavior.', 'Work under pressure', 'Able to research and to develop.']",https://wuzzuf.net/jobs/p/I43q2rsNxBqj-Production-Engineer---Plastic-Field-Red-Sea-Pipes-Giza-Egypt?o=17&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Red-Sea-Pipes-Egypt-51168-1578611720.png
17,Data Scientist “Mathematics/Physics”,Dafa,"Cairo, Egypt",Full Time,6 days ago,10,0,0,0,"IT/Software Development,Engineering - Telecom/Technology,Business Objects,Computer Science,D3,Data Mining,Gurobi,Information Technology (IT),Mathematics,Python,Spark,Statistics",Confidential,7 To 10 Years,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology",Experienced (Non-Manager),"['We are looking for someone with 7-10 years of experience mining/manipulating data sets and building statistical models, has a Master’s or PHD in Physics/Statistics, Mathematics, Computer Science or another quantitative field.', 'Job Description', 'Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.', 'Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.', 'Assess the effectiveness and accuracy of new data sources and data gathering techniques.', 'Develop custom data models and algorithms to apply to data sets.', 'Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.', 'Develop company A/B testing framework and test model quality.', 'Coordinate with different functional teams to implement models and monitor outcomes.', 'Develop processes and tools to monitor and analyze model performance and data accuracy.']","['Requirements ', 'Strong problem solving skills with an emphasis on product development.', 'Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.', 'Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.', 'Experience working with and creating data architectures.', 'Coding knowledge and experience with several languages: C, C++, Java,', 'JavaScript, etc.', 'Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.', 'Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.', 'Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.', 'Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.', 'Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.', 'Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.', 'Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.']",https://wuzzuf.net/jobs/p/bRZ7uIbexSQa-Data-Scientist-“MathematicsPhysics”-Dafa-Cairo-Egypt?o=18&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Dafa-Egypt-76749-1662034171.png
18,Senior C++ Software Developer,Luxoft (A DXC Technology Company),"Cairo, Egypt","Full Time,Work From Home",15 days ago,6,0,0,0,"IT/Software Development,Engineering - Telecom/Technology,C++,OOP,Communication skills,Computer Science,Information Technology (IT),Engineering,Software Development,Software Engineering,Python,Development",Confidential,6 To 20 Years,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology",Experienced (Non-Manager),"['Luxoft is one of the major software services companies world-wide. ', 'We deliver professional software services in multiple business verticals such as finance, automotive, and digital transformation. ', ""Supporting large vehicle manufacturers in the area of development, production and aftersales is Luxoft's ambition."", 'The software inside a vehicle was traditionally expected to be a very controlled and self-contained environment.', 'Equipping cars with perception and machine intelligence changes a lot in the overall picture of the vehicle manufacturer. ', ""Luxoft's goal is to empower our customers, with deep domain knowledge and smart solutions, to develop cars of the future. Great mechanical engineering is not the only criteria anymore for delivering the best cars in the world. "", 'Using state of the art software technologies are key to provide the requested user experience.', 'For the development of the next generation of ADAS (Advanced Driver Assistance Systems) and HAD (Highly Automated Driving) functions for a major German OEM, we are looking for talented C++ Developers (m/f/d).', 'Join our team of enthusiastic and experienced software developers and develop software for an entire driver assistance area of future vehicles of a renowned German automotive manufacturer. ', 'Develop challenging features that will be used on a daily basis by millions of drivers once the next generation of vehicles hits the roads starting 2025.']","['Must have', 'Academic degree in computer science, mechatronics, electronic engineering, telecommunication engineering or similar qualification, PhD welcome', 'Strong OOP and C++background, also in new standards (11, 14)', 'Strong software debugging skills, understanding of performance optimization', 'Very good understanding of the software development process, preferably in the automotive area', 'You are hardworking and have team spirit', 'Strong communication skills in English', 'Nice to have', ' PhD in a relevant field with international experience in industrial R&D projects', 'Experience with Python (numpy/scipy/matplotlib)', 'Experience with Bazel, gdb, gcc, memory&CPU profiling', 'Experience with embedded and/or real-time systems', 'Experience in Automotive (CAN, LIN, Flexray, Ethernet, Autosar Classic/Adaptive, functional safety, etc.)', 'Experience in AI, Robotics, Machine Learning, Computer Vision or similar', 'Experience in ROS', 'Knowledge of MISRA standard', 'Enthusiasm for embedded systems and automotive', 'Probability theory, statistics, linear algebra, geometry, optimization', 'German language knowledge']",https://wuzzuf.net/jobs/p/oguf9nA5ux2T-Senior-C-Software-Developer-Luxoft-A-DXC-Technology-Company-Cairo-Egypt?o=19&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Luxoft--A-DXC-Technology-Company--Egypt-74664-1645704102.png
19,Data Engineer,Cilantro,"Maadi, Cairo",Full Time,23 days ago,74,70,0,25,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology,Data Science,Data Analysis,Data Analytics,Data Engineering,Data,Database,Information Technology (IT),Computer Science,OOP,Computer Engineering,Algorithms,Analysis",Confidential,1 To 3 Years,Bachelor'S Degree,"IT/Software Development,Analyst/Research,Engineering - Telecom/Technology",Entry Level (Junior Level / Fresh Grad),"['ETL maintenance for data freshness and maximum warehouse uptime', 'Integrate new data sources to ETL', 'Build monitoring dashboards for data delivery and quality', 'Data platform infrastructure maintenance and expansion when necessary', 'Adapting and evolving the data platform based on business requirements ', 'Support in analytical dashboards creation and interfaces for stakeholders ', 'Support in analytical tools development and maintenance']","['Qualifications', 'We’re looking for gritty tech-savvy individuals who are good self-learners, proactive, ambitious, result-oriented and hungry for continuous self-improvement.', ' Technical Qualifications:', 'Core understanding of OOP, and preferred proficiency in Python', 'Fair knowledge of SQL', 'Basic understanding of database systems', 'Fair knowledge of cloud providers, preferably GCP ', 'Basic understanding of cloud data warehouses, preferably Big Query', 'Experience using Pandas', 'Experience with data workflow orchestration (Airflow)', 'Nice to have: Machine learning and predictive analytics algorithms, experience using SQLAlchemy and Flask', ' Also, interested to learn more about:', 'New technologies as required to achieve business goals ', 'Business development & transformation', 'Data analysis and visualization', 'BI tools development']",https://wuzzuf.net/jobs/p/Vd4JAvFk3kzv-Data-Engineer-Cilantro-Cairo-Egypt?o=20&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Cilantro-Egypt-69955-1638611455.jpg
20,Pre Sales Engineer,BBI-Consultancy,"Nasr City, Cairo",Full Time,2 days ago,0,,,,"IT/Software Development,Engineering - Telecom/Technology,Communication skills,Creative,Presentation,Research,sales skills,Cloudera,Data,Kafka,Informatica,Confluent",Confidential,4 To 6 Years,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology",Experienced (Non-Manager),"['Technical Consultancy.', 'New Technology Exploration, whether an entirely new product or new modules of already existing products.', 'Conduct Online Webinars.', 'Develop Proof of Concepts (PoCs) for customers.', 'Develop and present Demos Solution Offerings.', 'Participate in creating BBI’s solution offerings.', 'Research different sectors’ best practices and latest trends.', 'Work with different BBI teams to combine the sectors’ knowledge with the technology knowledge to create solutions offerings.', 'Technical Partner Engagement.', 'Handle Knowledge Transfer between BBI’s partners & BBI teams.', 'Discuss and learn Architecture Guidelines & Licensing Guides from BBI’s Partners.', 'Collaborate with partners on replying to customers’ Compliance Matrices.', 'Design & Develop Add-ons on partner’s products.', 'Create Sales Toolkit.', 'Create Ready-Made Demos for other commercial team members to use, including writing the scenario, developing the demo and creating a demo script, the ready-made demos should be categorized as follows:', 'By Function', 'By Sector', 'Create Video Recordings of the Demos/Products.', 'Click Through Demos.', 'Create ready-made Presentations to cover different functions/sectors/products.', 'Proactive Customer Engagement.', 'Creating The need (Presenting Introductory Presentation).', 'Presenting Demos.', 'Gathering & Validating Requirements.', 'Assessing RFPs.', 'Sending Clarifications to customers if needed.', 'Design Solution Architecture.', 'Validate Estimations provided from the technical team.', 'Proposal Writing.']","['Technical Hands-on experience of more than 3 years in one or more of the following areas,', 'Business Intelligence', 'Big Data', 'Artificial Intelligence and Machine Learning', 'Excellent Communication skills (Both internally and with Customers', 'Very good presentation skills', 'Ability to handle research tasks (Both Technical & Business)', 'Creative Thinker', 'Very good Technical Writing skills.']",https://wuzzuf.net/jobs/p/u1urm1uxMT3j-Pre-Sales-Engineer-BBI-Consultancy-Cairo-Egypt?o=21&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/BBI-Consultancy-Egypt-1113-1518334605.png
21,Senior Full Stack Developer,Fotopia,"Heliopolis, Cairo",Full Time,19 days ago,14,5,0,0,"IT/Software Development,Engineering - Telecom/Technology,Engineering,Computer Engineering,Software Development,Information Technology (IT),English,Computer Science",Confidential,5 To 10 Years,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology",Experienced (Non-Manager),"['We are growing and if you believe you have the right startup mindset for an aggressive growth roadmap, check the job description below and apply. ', 'We are looking for a Senior Full Stack Engineer who has working experience with modern and cutting-edge technologies including AI and Machine Learning. We would like you to lead and coach a team of highly skilled developers in building state of the art technologies and software products, using tools such as Angular, React, JavaScript, Python, MongoDB, Docker, .NET framework as detailed below.', 'Solid knowledge and experience in React, TypeScript, HTML5, CSS3, Bootstrap.', 'Solid experience with both RDBMS and NoSQL databases (MS SQL Server & MongoDB).', 'Solid experience with C#.NET, ASP.NET MVC, .NET core & Microsoft Development Tools.', 'Solid Experience in object-oriented programming & software design patterns.', 'Fair knowledge of Phyton, AI, machine learning concepts is plus.', 'Fair experience in Microsoft Azure, at least App Services and Azure Storage is plus.', 'Fair knowledge of Azure DevOps, deploying and automating CI/CD pipelines across multiple environments is plus.', 'Good knowledge of Docker or Kubernetes is a plus.']","['Bachelor’s degree in computer science or computer engineering.', 'Minimum 5 Years of proven work experience, preferably within a technology organization as both a hands-on architect and/or a software engineer.', 'Excellent command of English language.', 'Have a keen eye for quality and details.', 'Very good analytical and creative problem-solving skills.', 'What we offer:', 'A startup environment to grow where the sky is the limit!', 'Top of the market salaries and financial packages.', 'Stock options based on the position applied to and proven experience.', 'Medical and social insurance.']",https://wuzzuf.net/jobs/p/pGDmZqGrStaN-Senior-Full-Stack-Developer-Fotopia-Cairo-Egypt?o=22&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/14915161746315ac1851e2e.png
22,Application Support Engineer,Caelum Egypt,"Dokki, Giza",Full Time,4 days ago,19,0,0,0,"IT/Software Development,Engineering - Telecom/Technology,Communication skills,computer,Computer Engineering,Computer Science,Customer Support,CRM,Engineering,English,Information Technology (IT),Software,Software Development,SQL",Confidential,1 To 3 Years,Bachelor'S Degree,"IT/Software Development,Engineering - Telecom/Technology",Entry Level (Junior Level / Fresh Grad),"['Provide 1st & eventually 2nd level (after good training on company products) support for production issues across multiple applications, including problem identification, definition and implementation of short-term work around and coordination of long term software solution with business analysis and development team.', 'Setup, configure and maintain monitoring for the deployed systems', 'Maintain the company knowledge base related to deployment of new applications and resolutions for known issues', 'Write internal administration guides for the applications and trains the staff in case of new deployment processes are introduced', 'Install and configure clients’ environments on request - onsite or offsite', 'Perform advances investigation of issues including network troubleshooting', 'Diagnose and resolve day-to-day live system issues in timely manner based on their severity', 'Clear understanding of software development lifecycle methodologies and documentation standards', 'Maintain ongoing communication with end-users, business analysts, QA team, and development team on reported issues', 'Coordinate, Review and respond to system audit alerts in a timely manner', 'Ability to write, modify, and execute SQL queries for SQL database', ""Configuration of local machines to clone client's production environment for troubleshooting reported issues"", 'Effectively record and monitor progress of all issues raised, providing feedback to the business users as required', 'Liaise with other support/development teams to resolve cross system issues', 'Maintain application support documentation', 'Test configuration changes in a test environment prior to pushing into production', 'Design and support application reports', 'Maintain confidentiality with regard to the information being processed, stored or accessed', 'Read and recognize the function of SQL queries to perform troubleshooting related to application changes and releases']","['Bachelor degree in Software/Computer Engineering, Computer Sciences, or related field', 'Minimum of 2 years’ experience in a software development context with minimum 2 year in a support role', 'Fluent in English is must', 'Experience in supporting and maintaining applications on desktop, web and database platforms', 'Solid working knowledge in SQL database is a must', 'Fluent English is a MUST', 'Solid experience in CRM systems (Microsoft Dynamics CRM is a plus)', 'Solid experience in cloud computing platform (Microsoft Azure is a plus)', 'Business Intelligence knowledge is a plus', 'Working experience in .NET framework is a plus', 'Ability to read and understand job-related materials such as instructions, specifications, references and manuals', 'Ability to work with demanding users in a fast paced environment', 'Excellent organizational, analytical, as well as oral and written communication skills', 'Excellent interpersonal and communication skills (oral and written)', 'Strong critical thinking and analysis, meeting facilitation, verbal and written communications, and interpersonal skills', 'The ability to explain complicated concepts in a simple manner', 'Proven documentation skills with consistent accuracy of details', 'Strong understanding of change control processes, time management and attention to detail', 'Ability to manage time and work well under pressure', 'Flexibility to handle multiple work streams at any time', 'Ability to investigate, analyze information and to draw conclusions in order to troubleshoot issues', 'Ability to learn and support new applications', 'Ability to work independently or as part of a team', 'Proven ability to understand a customer’s business environment and processes', 'Ability to travel abroad when needed']",https://wuzzuf.net/jobs/p/KUwPA59hbawv-Application-Support-Engineer-Caelum-Egypt-Giza-Egypt?o=23&l=sp&t=sj&a=machine learning|search-v3,https://images.wuzzuf-data.net/files/company_logo/Caelum-Middle-East-Egypt-3522-1612259033.jpg
